,Path,Emotions,Gender,Intensity,Line
0,kaggle/input/ravdess-emotional-song-audio/audio_song_actors_01-24/Actor_16/03-02-03-02-02-02-16.wav,happy,1,1,Dogs are sitting by the door
1,kaggle/input/ravdess-emotional-song-audio/audio_song_actors_01-24/Actor_16/03-02-03-01-01-02-16.wav,happy,1,0,Kids are talking by the door
2,kaggle/input/ravdess-emotional-song-audio/audio_song_actors_01-24/Actor_16/03-02-02-02-01-01-16.wav,calm,1,1,Kids are talking by the door
3,kaggle/input/ravdess-emotional-song-audio/audio_song_actors_01-24/Actor_16/03-02-02-01-02-01-16.wav,calm,1,0,Dogs are sitting by the door
4,kaggle/input/ravdess-emotional-song-audio/audio_song_actors_01-24/Actor_16/03-02-01-01-02-02-16.wav,neutral,1,0,Dogs are sitting by the door
5,kaggle/input/ravdess-emotional-song-audio/audio_song_actors_01-24/Actor_16/03-02-06-01-02-02-16.wav,fear,1,0,Dogs are sitting by the door
6,kaggle/input/ravdess-emotional-song-audio/audio_song_actors_01-24/Actor_16/03-02-05-01-02-01-16.wav,angry,1,0,Dogs are sitting by the door
7,kaggle/input/ravdess-emotional-song-audio/audio_song_actors_01-24/Actor_16/03-02-05-02-01-01-16.wav,angry,1,1,Kids are talking by the door
8,kaggle/input/ravdess-emotional-song-audio/audio_song_actors_01-24/Actor_16/03-02-06-02-01-02-16.wav,fear,1,1,Kids are talking by the door
9,kaggle/input/ravdess-emotional-song-audio/audio_song_actors_01-24/Actor_16/03-02-04-01-01-02-16.wav,sad,1,0,Kids are talking by the door
10,kaggle/input/ravdess-emotional-song-audio/audio_song_actors_01-24/Actor_16/03-02-04-02-02-02-16.wav,sad,1,1,Dogs are sitting by the door
11,kaggle/input/ravdess-emotional-song-audio/audio_song_actors_01-24/Actor_16/03-02-05-01-01-02-16.wav,angry,1,0,Kids are talking by the door
12,kaggle/input/ravdess-emotional-song-audio/audio_song_actors_01-24/Actor_16/03-02-06-01-01-01-16.wav,fear,1,0,Kids are talking by the door
