0,1,2,3,4,5,labels
-3683.891497210033,-2867.591442681824,-2307.8789004221376,-579.2041656082362,996.0112859937234,1148.315945411158,neutral
-3969.2637267130167,3662.5361235533337,-864.5466049410886,-29.040744907978233,1160.9284737142023,687.9827065595379,neutral
-3609.4439544294682,-2839.5749638020607,-2271.079411322334,-740.6928535434698,1076.781665204532,1170.2363910796923,neutral
-3177.403025943551,-3087.2162165215373,-1491.8221429637854,-201.5243726630278,171.47674561879322,353.617358978455,neutral
-3495.2105182120545,3195.6405508366834,-528.8831199606146,-515.4543235151655,-1218.6897098299871,-251.639431622226,neutral
-3104.679025315721,-3192.0359575448742,-1349.3380721018855,-148.28293257050024,231.85778096912605,384.6964823082684,neutral
-2986.692238600122,-3082.609993391929,-1996.844989704224,-180.54653190421058,619.667113227592,248.47772901469057,neutral
-3425.760213458855,2074.505284808709,-1477.193159110928,955.1843890154088,-599.3352894512395,-83.3993663289173,neutral
-2950.363586684525,-3003.727310509463,-1883.3541010836786,-77.94172748063104,574.0176400489553,228.5528118628835,neutral
-1420.731579517823,-2203.2121322246853,-2127.0796290740095,146.9015141777695,934.9359961676726,-109.84786865630976,neutral
-1976.9846560150106,827.3616908424187,-3053.7194702314755,2106.7960093632587,2106.797401148185,81.11095240792928,neutral
-1283.8177488215354,-2355.9362741772484,-2017.4179364080758,-169.52909499092644,475.72721872220984,-152.2929466067263,neutral
-3323.258766133991,-3248.9434049837805,-1090.8476528126084,-1527.4691216369542,-257.2300732340063,382.7927724665666,calm
-3991.1785413365374,2581.506669110253,-102.56403572647359,-789.744558397077,-141.81434222423601,110.47574155928741,calm
-3276.4106510685083,-3181.5068415120368,-1308.5573366576969,-1180.8281144425018,-492.32545291818224,352.3254669428369,calm
-3441.391587656252,-3482.3708744210467,-1325.722261935019,-1640.36907578442,144.2150949879462,627.9881970562093,calm
-3720.866105245961,1203.7937923973439,806.0784956036762,-2189.9527131645264,-1022.624795569747,55.948196526231165,calm
-3426.794863747904,-3465.0108270043297,-1187.8179703837636,-1500.340968683626,4.621706495280699,498.5641496546696,calm
-3350.826677529401,-2741.8532512088113,-212.28225064147375,-2722.749046661469,1154.677933162794,640.0348503381585,calm
-3480.4562725534506,415.9339580887505,-1290.0763082767169,-1432.4087766229677,-1846.2575755760624,196.6613979285686,calm
-3474.3151442936532,-2694.1254170880484,-383.213097636711,-2509.8402868165435,1142.255608295887,648.1874584599833,calm
-2737.8436572770747,-3233.985079858216,-440.1024988648591,-2588.9408004108373,1507.5235624810985,51.81240745021607,calm
-3012.031758271459,-275.21237201600565,195.32556220076287,-3202.601762673874,-1000.4025645845904,-517.5536012388122,calm
-2735.83385738862,-3301.5404702347164,-533.0906533270864,-2648.430562258836,1564.1861556832152,4.277326518975032,calm
-3640.589672159794,-3213.927966145428,-1717.21425902467,-1435.7605609252266,136.1686986487119,738.5196153798896,calm
-3881.8478568586966,2240.08300475179,639.1402674458955,-1856.8932332682527,-309.6594610799324,192.30226659071778,calm
-3500.967589493773,-3243.570248641353,-1797.4705153331552,-1143.99866443364,-9.598686644118263,748.3968775836462,calm
-3227.9988087246916,-2597.3427782420113,-1420.392415701784,-847.9698509250587,-824.014367576302,573.7146026549692,calm
-3818.0210679755933,2013.7351294022965,-1859.6466030554236,319.24397483168116,-886.0114394035003,443.1167835637628,calm
-3096.7783516395793,-2675.5419916984047,-1302.2683303920965,-868.8520799878871,-853.432357713618,523.3447471055165,calm
-2917.8681994124695,-655.0450493156661,759.8939411602593,-3517.05002365677,2085.41160529673,126.16987720123034,calm
-3340.0746876167464,3403.41941855196,196.67440248838625,-1774.3286677261658,3640.4918460876756,206.98348106135478,calm
-2653.9677746449133,-608.8405188912399,803.2513578907829,-3621.3120042377604,1806.610263215869,43.15910544873925,calm
-3557.896380575229,-1662.729902689733,917.9941206058693,-2815.701225021684,983.081309372481,813.2438836172923,calm
-3879.2998666368944,1279.7515078087652,-724.1493898325383,-1510.5055360218328,176.34201838304125,645.7894547650661,calm
